Employee Name,Department Name,Age,Salary
Tania Perugini,Business,25,30000
Christian Mcmiller,Technology,30,45000
Erik Schwager,Business,27,22000
Lonnie Eckley,Marketing,20,46000
 Julianne Drovin,Business,40,56000
Lilia Leduc,Technology,30,22000
Avis Berberich,"Marketing,Technology",35,90000
Noemi Drovin,"Technology,Business",30,24000
Max Cid,Business,55,30000
Mallory Ravelo,Marketing,60,19000
Milagros Phaneuf,Technology,46,37500
 Rae Quarterman,Marketing,48,72000
 Ted Abelson,Technology,47,66000
